ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jul 2019,Digital Virgo,Digital Virgo,France,Senegal,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
2,Jul 2019,Gebeya,Gebeya,Ethiopia,Senegal,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 162,New
3,Jul 2019,Qatar Investment …,Inetum (Gfi Infor…,Qatar,Senegal,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 162,New
4,Jul 2019,SQORUS (Des Sys…,SQORUS (Des Sys…,France,Senegal,Software & IT services,Custom computer pr…,Business Services,* $5.90m,* 162,New
5,Jun 2019,Altice NV,Intelcia,Netherlands,Senegal,Business services,Business support ser…,Customer Contact C…,* $2.80m,350,New
6,Jun 2019,Der Mond Group,Der Mond Oil and …,UAE,Senegal,Business services,"Technical, trade & ot…",Education & Training,* $9.40m,* 46,New
7,Jun 2019,Dynacor Gold Mines,Dynacor Gold Mines,Canada,Senegal,Metals,Nonferrous metal pr…,Manufacturing,$10.00m,* 68,New
8,Jun 2019,Grupo Eurona,Grupo Eurona,Spain,Senegal,Communications,Wired telecommunic…,"Sales, Marketing & S…",* $4.70m,* 62,New
9,Jun 2019,Heppner,Heppner,France,Senegal,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
10,Jun 2019,Knights-Nieminen …,Knights-Nieminen …,Canada,Senegal,Industrial equipment,"Agriculture, construc…",Manufacturing,* $29.80m,* 219,New
11,Jun 2019,RIU Hotels & Reso…,RIU Hotels & Reso…,Spain,Senegal,Hotels & tourism,Accommodation,Construction,* $84.32m,* 211,New
12,Jun 2019,RIU Hotels & Reso…,RIU Hotels & Reso…,Spain,Senegal,Hotels & tourism,Accommodation,Construction,* $84.32m,* 211,New
13,May 2019,Bollore Group,Bollore Logistics,France,Senegal,Transportation & Wa…,Freight/Distribution …,"Logistics, Distributio…",* $167.70m,* 111,New
14,May 2019,Mainstream Rene…,Lekela Power,Ireland,Senegal,Renewable energy,Wind electric power,Electricity,* $206.10m,* 57,New
15,Apr 2019,Allby,Allby,Portugal,Senegal,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 38,New
