ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2010,Juwi,Juwi,Germany,Senegal,Renewable energy,Solar electric power,Electricity,* $231.70m,* 54,New
2,Apr 2010,International Busi…,International Busi…,United States,Senegal,Software & IT services,Custom computer pr…,Business Services,* $5.80m,* 16,New
3,Jan 2010,Mineral Deposits,Mineral Deposits,Australia,Senegal,Metals,Gold ore & silver ore…,Extraction,$80.00m,* 112,Expansion
4,Jan 2010,Randgold Resources,Randgold Resources,United Kingdom,Senegal,Metals,Gold ore & silver ore…,Extraction,$300.00m,* 422,New
5,Nov 2009,InterContinental H…,InterContinental H…,United Kingdom,Senegal,Hotels & tourism,Accommodation,Construction,* $129.80m,* 219,New
6,Oct 2009,Dangote Group,Dangote Cement,Nigeria,Senegal,Building materials,Cement & concrete p…,Manufacturing,* $159.80m,* 342,New
7,Oct 2009,Vicat Group,Vicat Group,France,Senegal,Building materials,Cement & concrete p…,Manufacturing,* $159.80m,* 342,Expansion
8,Jul 2009,Gulf Pharmaceutic…,Gulf Pharmaceutic…,UAE,Senegal,Pharmaceuticals,Pharmaceutical prep…,"Sales, Marketing & S…",* $4.20m,* 40,New
9,Jun 2009,Alcatel-Lucent,Alcatel-Lucent,France,Senegal,Communications,Wireless telecommu…,Education & Training,* $7.00m,* 94,New
10,Jun 2009,Nestle,Nestle,Switzerland,Senegal,Food and Beverages,Seasoning & dressing,Manufacturing,$10.38m,* 68,New
11,May 2009,Kering (PPR),CFAO Group,France,Senegal,Automotive OEM,Motor vehicle & part…,Retail,$0.72m,* 2,New
12,May 2009,World Wide Web C…,World Wide Web C…,United States,Senegal,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.80m,* 16,New
13,Jan 2009,International Wor…,International Wor…,Luxembourg,Senegal,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
14,Jan 2009,Maarch,Maarch,France,Senegal,Business services,Other support services,Business Services,* $6.80m,* 15,New
15,Jan 2009,Sanir Company,Sanir Company,Iran,Senegal,Electronic components,Electric lighting equi…,Manufacturing,* $11.80m,* 157,New
