produit,sens,annee,valeur,poids,edition
Produits halieutiques,export,2021,312981,312116,2025
Produits halieutiques,export,2022,423370,299704,2025
Produits halieutiques,export,2023,345278,273982,2025
Produits halieutiques,export,2024,340509,251347,2025
Produits halieutiques,export,2025,348311,251188,2025
Produits arachidiers,export,2021,168571,348816,2025
Produits arachidiers,export,2022,100838,191919,2025
Produits arachidiers,export,2023,70223,121239,2025
Produits arachidiers,export,2024,72275,127883,2025
Produits arachidiers,export,2025,21915,24960,2025
Huile brute de pétrole,export,2021,11017,73045,2025
Huile brute de pétrole,export,2022,1545,6928,2025
Huile brute de pétrole,export,2023,15959,63690,2025
Huile brute de pétrole,export,2024,464555,1427941,2025
Huile brute de pétrole,export,2025,1527997,5119888,2025
Autres produits pétroliers,export,2021,436885,1303545,2025
Autres produits pétroliers,export,2022,648822,1072595,2025
Autres produits pétroliers,export,2023,676438,1192516,2025
Autres produits pétroliers,export,2024,791942,1412012,2025
Autres produits pétroliers,export,2025,860646,1783976,2025
Gaz naturel liquéfié,export,2021,,,2025
Gaz naturel liquéfié,export,2022,,,2025
Gaz naturel liquéfié,export,2023,,,2025
Gaz naturel liquéfié,export,2024,,,2025
Gaz naturel liquéfié,export,2025,115868,593346,2025
Acide phosphorique,export,2021,265348,478435,2025
Acide phosphorique,export,2022,471868,558409,2025
Acide phosphorique,export,2023,264686,492886,2025
Acide phosphorique,export,2024,264417,499185,2025
Acide phosphorique,export,2025,264696,415328,2025
Ciment hydraulique,export,2021,86231,2123572,2025
Ciment hydraulique,export,2022,75747,1631621,2025
Ciment hydraulique,export,2023,106480,2149919,2025
Ciment hydraulique,export,2024,108838,2282279,2025
Ciment hydraulique,export,2025,113629,2527722,2025
Phosphates,export,2021,22050,553448,2025
Phosphates,export,2022,47732,486545,2025
Phosphates,export,2023,49886,569208,2025
Phosphates,export,2024,55433,717942,2025
Phosphates,export,2025,47141,619911,2025
Engrais minéraux,export,2021,33057,121978,2025
Engrais minéraux,export,2022,9318,30411,2025
Engrais minéraux,export,2023,37787,130511,2025
Engrais minéraux,export,2024,28830,67768,2025
Engrais minéraux,export,2025,61251,156716,2025
Cotons et tissus en coton,export,2021,9005,9160,2025
Cotons et tissus en coton,export,2022,12551,8931,2025
Cotons et tissus en coton,export,2023,8428,5991,2025
Cotons et tissus en coton,export,2024,6640,5643,2025
Cotons et tissus en coton,export,2025,6397,6319,2025
Or industriel,export,2021,539778,19,2025
Or industriel,export,2022,580607,18,2025
Or industriel,export,2023,530410,17,2025
Or industriel,export,2024,588502,16,2025
Or industriel,export,2025,977997,19,2025
