ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jun 2015,Fetchr,Fetchr,UAE,Asia-Pacific,Transportation & ...,n/a,New Funding/Resour...,-,-
2,Jun 2015,Huawei Technolo...,Huawei Technolo...,China,South Africa,Communications,n/a,New Investment Stra...,-,-
3,Jun 2015,Brandtone,Brandtone,Ireland,Latin America & C...,Business services,n/a,New Funding/Resour...,-,-
4,Jun 2015,Quantbot Technol...,Quantbot Technol...,United States,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
5,Jun 2015,Orange (France T...,Orange (France T...,France,Egypt,Communications,n/a,New Investment Stra...,-,-
6,Jun 2015,Feedback Infra,Feedback Infra,India,Asia-Pacific,"Coal, oil & gas",n/a,New Investment Stra...,-,-
7,Jun 2015,Emirates National...,Emirates National...,UAE,Africa,"Coal, oil & gas",Manufacturing,Considering Project (...,-,-
8,Jun 2015,Al-Bader Group,Al-Bader Internat...,Kuwait,Mozambique,"Coal, oil & gas",n/a,New Investment Stra...,-,$11.50bn
9,Jun 2015,Altius Fotovoltaic,Altius Fotovoltaic,Romania,Middle East,Electronic compon...,Manufacturing,Considering Project (...,-,-
10,Jun 2015,Portugal Telecom,NOS,Portugal,Latin America & C...,Communications,n/a,New Investment Stra...,-,-
11,May 2015,Pegas Nonwoven...,Pegas Nonwoven...,Luxembourg,Egypt,Textiles,Manufacturing,Considering Project (...,-,-
12,May 2015,Mubadala Develo...,Al Yah Satellite C...,UAE,Latin America & C...,Communications,n/a,New Investment Stra...,-,-
13,May 2015,Job and Talent,Job and Talent,Spain,United States,Software & IT serv...,n/a,New Funding/Resour...,-,-
14,May 2015,Hotels.ng,Hotels.ng,Nigeria,Africa,Hotels & tourism,n/a,New Funding/Resour...,-,$1.20m
15,May 2015,Groupe PSA (PSA...,Dongfeng Peugeo...,France,Morocco,Automotive OEM,Manufacturing,Considering Project (...,-,-
