ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Oct 2025,Yaga,Yaga,Estonia,Middle East,Software & IT serv...,n/a,New Funding/Resour...,$4.64m,-
2,Oct 2025,Moniepoint (Tea...,Moniepoint (Tea...,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$200.00m,-
3,Oct 2025,ADQ (Abu Dhabi ...,Noatum,UAE,Latin America & C...,Transportation & War...,n/a,New Investment Stra...,-,-
4,Oct 2025,Zenith Bank,Zenith Bank,Nigeria,Africa,Financial services,n/a,New Funding/Resour...,$427.35m,-
5,Oct 2025,Kuunda,Kuunda,Mauritius,Middle East,Software & IT services,n/a,New Funding/Resour...,$7.50m,-
6,Oct 2025,SunCulture,SunCulture,Kenya,Uganda,Electronic compon...,n/a,New Funding/Resour...,$5.00m,-
7,Oct 2025,Climaty AI,Climaty AI,UAE,United Kingdom,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
8,Oct 2025,Scan Global Logis...,Scan Global Logis...,Denmark,Turkey,Transportation & War...,"Sales, Marketing & ...",Considering Project (...,-,-
9,Oct 2025,Gokaldas,Gokaldas,India,Africa,Textiles,Manufacturing,New Investment Stra...,-,-
10,Oct 2025,Galetech Group,Galetech Group,Ireland,Australia,Business services,n/a,New Funding/Resour...,-,-
11,Oct 2025,Forgiafer (Italian...,Forgiafer (Italian...,Italy,Tunisia,Leisure & entertainm...,n/a,New Investment Stra...,-,-
12,Sep 2025,Revolut,Revolut,United Kingdom,India,Financial services,n/a,New Funding/Resour...,-,-
13,Sep 2025,Zanifu,Zanifu,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
14,Sep 2025,Cohere,Cohere,Canada,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$100.00m,-
15,Sep 2025,HarbourVest,HarbourVest,United States,Canada,Financial services,n/a,New Investment Stra...,-,-
