ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Oct 2012,Pick n Pay Holdings,Pick n Pay,South Africa,Nigeria,Food and Beverages,Unspecified,New Investment Stra...,-,-
2,Oct 2012,Bank Negara Ind...,Bank Negara Ind...,Indonesia,Middle East,Financial services,Unspecified,New Investment Stra...,-,-
3,Oct 2012,United Nilgiri Tea ...,United Nilgiri Tea ...,India,Ethiopia,Food and Beverages,n/a,New Investment Stra...,-,$0.05m
4,Oct 2012,Spirit Aerosystems,Spirit Aerosystems,United States,Egypt,Aerospace,Maintenance & Se...,New Overseas Suppli...,-,-
5,Oct 2012,Ikon Science,Ikon GeoPressure,United Kingdom,Asia-Pacific,Business services,Unspecified,New Investment Stra...,-,-
6,Oct 2012,Zamin Ferrous,Zamin Ferrous,United Kingdom,Latin America & C...,Metals,Extraction,Considering Project (...,-,-
7,Oct 2012,Securico,Securico,Zimbabwe,Africa,Business services,Unspecified,New Investment Stra...,-,-
8,Oct 2012,Celpay Internatio...,Celpay Internatio...,Netherlands,Zimbabwe,Software & IT serv...,Unspecified,New Investment Stra...,-,$10.00m
9,Oct 2012,Essel Group,Zee Entertainme...,India,Asia-Pacific,Communications,Unspecified,New Investment Stra...,-,-
10,Oct 2012,Spire Payments,Spire Payments,Spain,Latin America & C...,Business machines...,Unspecified,New Investment Stra...,-,-
11,Oct 2012,Jasco Group,Jasco Group,South Africa,Africa,Communications,Unspecified,New Investment Stra...,-,-
12,Sep 2012,Mimecast,Mimecast,United Kingdom,North America,Software & IT serv...,Unspecified,New Funding/Resour...,-,-
13,Sep 2012,Capillary Technol...,Capillary Technol...,India,Asia-Pacific,Software & IT serv...,Unspecified,New Funding/Resour...,-,-
14,Sep 2012,Melia Hotels Inter...,Melia Hotels Inter...,Spain,Africa,Hotels & tourism,Construction,Considering Project (...,-,-
15,Sep 2012,ShoreTel,ShoreTel,United States,Middle East,Communications,Unspecified,New Personnel,-,-
