ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2018,Walmart,Massmart,United States,Africa,Consumer products,Retail,Considering Project (...,-,-
2,Mar 2018,ESPRIT Education,ESPRIT Education,Tunisia,Africa,Business services,n/a,Considering Project (...,-,-
3,Mar 2018,Kakbima,Kakbima,Kenya,Africa,Software & IT services,n/a,New Investment Stra...,-,-
4,Mar 2018,M-Shule,M-Shule,Kenya,Africa,Software & IT services,n/a,New Investment Stra...,-,-
5,Mar 2018,Constantia Insura...,Constantia Insura...,South Africa,Africa,Financial services,n/a,New Investment Stra...,-,-
6,Mar 2018,Ansarada,Ansarada,Australia,United States,Software & IT services,n/a,New Funding/Resour...,-,$18.00m
7,Mar 2018,Alexander Forbes...,Alexander Forbes...,South Africa,Africa,Financial services,n/a,New Investment Stra...,-,-
8,Mar 2018,Libra Group,Grace Hotels,Bermuda,North America,Hotels & tourism,Construction,Considering Project (...,-,-
9,Mar 2018,HootSuite,HootSuite,Canada,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,-,-
10,Mar 2018,Sumo Logic,Sumo Logic,United States,Asia-Pacific,Software & IT services,n/a,New Investment Stra...,-,-
11,Mar 2018,HP (Hewlett-Pack...,HP (Hewlett-Pack...,United States,Egypt,Business machines...,n/a,New Investment Stra...,-,-
12,Mar 2018,Wefarm,Wefarm,United Kingdom,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
13,Mar 2018,Neuberg Diagnos...,Neuberg Diagnos...,India,United States,Healthcare,Business Services,Considering Projec...,-,-
14,Mar 2018,Uber Technologies,Uber Eats,United States,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
15,Mar 2018,Pawame,Pawame,Kenya,Africa,Renewable energy,n/a,New Funding/Resour...,-,-
