ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Apr 2021,Ampersand,Ampersand,Rwanda,Africa,Non-automotive tran...,n/a,New Funding/Resour...,$3.50m,-
2,Apr 2021,Deere & Company,John Deere,United States,Africa,Industrial equipment,n/a,New Funding/Resour...,-,-
3,Apr 2021,Yieldin,Yieldin,France,Latin America & C...,Software & IT services,n/a,New Funding/Reso...,-,-
4,Apr 2021,Fuel50,Fuel50,United States,United States,Software & IT services,n/a,New Funding/Resour...,$15.50m,-
5,Apr 2021,mOOvement,mOOvement,Australia,United States,Communications,n/a,New Funding/Resour...,$1.31m,-
6,Apr 2021,Dukapay (Tanda),Dukapay (Tanda),Kenya,Uganda,Software & IT services,n/a,New Funding/Resour...,-,-
7,Apr 2021,DailyMealz,DailyMealz,Saudi Arabia,Egypt,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
8,Apr 2021,Quantum Marketi...,Quantum Marketi...,Saudi Arabia,Egypt,Software & IT services,n/a,New Funding/Resour...,$2.60m,-
9,Apr 2021,SEGRON,SEGRON,Netherlands,Asia-Pacific,Communications,n/a,New Funding/Resour...,$5.33m,-
10,Apr 2021,Airwallex,Airwallex,Hong Kong,Middle East,Financial services,n/a,New Investment Stra...,$100.00m,-
11,Apr 2021,AECC Global,AECC Global,Australia,China,Business services,Business Services,Considering Project (...,-,-
12,Apr 2021,Weelo,Weelo,Egypt,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,-,-
13,Apr 2021,Tugende,Tugende,Uganda,Kenya,Software & IT services,n/a,New Funding/Resour...,$3.60m,-
14,Mar 2021,Zoomin Software,Zoomin Software,United States,Middle East,Software & IT services,n/a,New Funding/Resour...,$52.00m,-
15,Mar 2021,Curacel,Curacel,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$0.45m,-
