ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2010,Indian Oil Corpor...,Indian Oil Corpor...,India,Africa,"Coal, oil & gas",Manufacturing,Considering Project (...,-,$3.50bn
2,Jul 2010,Net Insight,Net Insight,Sweden,Asia-Pacific,Communications,n/a,New Overseas Suppli...,-,-
3,Jul 2010,Polaris Financial T...,Polaris Financial T...,India,Latin America & C...,Software & IT services,n/a,New Investment Stra...,-,-
4,Jul 2010,Ansell,Ansell,Australia,Latin America & C...,Medical devices,n/a,New Investment Stra...,-,-
5,Jul 2010,Syncapse,Syncapse,Canada,Middle East,Software & IT services,n/a,New Personnel,-,-
6,Jul 2010,Grupo Nutresa (G...,Grupo Nutresa (G...,Colombia,Asia-Pacific,Food and Beverages,n/a,New Investment Stra...,-,-
7,Jul 2010,Tata Group,Tata Coffee,India,Africa,Food and Beverages,Manufacturing,Considering Project (...,-,$27.70m
8,Jul 2010,Bank Audi sal-Au...,Bank Audi sal-Au...,Lebanon,Tunisia,Financial services,n/a,New Investment Stra...,-,-
9,Jul 2010,RPG Enterprises,KEC International,India,Asia-Pacific,Industrial equipment,n/a,New Investment S...,-,-
10,Jul 2010,Rasna,Rasna,India,Africa,Food and Beverages,Manufacturing,Considering Project (...,-,-
11,Jul 2010,Siemens,Siemens,Germany,Africa,Electronic compon...,n/a,New Investment Stra...,-,-
12,Jul 2010,Eni SpA,Saipem SpA,Italy,Latin America & C...,"Coal, oil & gas",n/a,New Overseas Suppli...,-,-
13,Jul 2010,Vale (Companhia ...,Vale (Companhia ...,Brazil,Australia,"Coal, oil & gas",Extraction,Considering Project (...,-,-
14,Jul 2010,Ruchi Group,Ruchi Soya Indus...,India,Asia-Pacific,Food and Beverages,Manufacturing,Considering Project (...,-,-
15,Jul 2010,Expro,Expro,United Kingdom,Latin America & C...,Business services,Business Services,New Overseas Suppli...,-,$379.00m
