ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Dec 2021,Ermetic,Ermetic,United States,United States,Software & IT services,"Sales, Marketing & ...",New Funding/Resour...,$70.00m,-
2,Dec 2021,Wowzi,Wowzi,Kenya,Nigeria,Software & IT services,n/a,New Funding/Resour...,$3.20m,-
3,Dec 2021,AfricaWorks,AfricaWorks,South Africa,Nigeria,Real estate,Business Services,Considering Projec...,-,-
4,Dec 2021,iZooto,iZooto,United States,Bahrain,Software & IT services,n/a,New Investment Stra...,-,-
5,Dec 2021,fonYou,fonYou,Spain,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$7.92m,-
6,Dec 2021,Bento Africa,Bento Africa,Nigeria,South Africa,Software & IT services,n/a,New Investment Stra...,-,-
7,Dec 2021,WaffarX,WaffarX,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
8,Dec 2021,CometChat,CometChat,United States,Asia-Pacific,Communications,n/a,New Funding/Resour...,$10.00m,-
9,Dec 2021,ZIWO,ZIWO,UAE,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,-,-
10,Dec 2021,TradeDepot,TradeDepot,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$110.00m,-
11,Dec 2021,Tamatem,Tamatem,Jordan,Middle East,Software & IT services,n/a,New Funding/Resour...,$11.00m,-
12,Dec 2021,Gozem,Gozem,Singapore,Democratic Re...,Software & IT services,n/a,New Funding/Resour...,$5.00m,-
13,Dec 2021,Lamaa,Lamaa,Saudi Arabia,Qatar,Software & IT services,n/a,New Funding/Resour...,$5.50m,-
14,Dec 2021,Coevolve,Coevolve,Australia,Middle East,Software & IT services,n/a,New Investment S...,-,-
15,Dec 2021,Hancom,Hancom,South Korea,Egypt,Software & IT services,n/a,New Investment Stra...,-,-
