ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2020,Ureed,Ureed,UAE,Bahrain,Software & IT services,n/a,New Funding/Resour...,-,-
2,Jun 2020,Wallets Africa,Wallets Africa,Nigeria,Africa,Financial services,n/a,New Funding/Resour...,-,-
3,Jun 2020,PepsiCo,PepsiCo,United States,Tunisia,Food and Beverages,n/a,New Investment Stra...,-,-
4,Jun 2020,Olam,Olam,Singapore,Vietnam,Food and Beverages,n/a,New Funding/Resour...,$250.00m,-
5,Jun 2020,Adventus.io,Adventus.io,Singapore,Indonesia,Software & IT services,n/a,New Funding/Resour...,-,-
6,Jun 2020,MoneyFellows,MoneyFellows,Egypt,Africa,Financial services,n/a,New Funding/Resour...,$4.00m,-
7,Jun 2020,Ramky Enviro En...,Ramky Enviro En...,India,Asia-Pacific,Business services,Recycling,Considering Project (...,-,-
8,Jun 2020,WapiPay,WapiPay,Singapore,Africa,Financial services,n/a,New Funding/Resour...,-,-
9,Jun 2020,Helios Towers,Helios Towers,United Kingdom,Morocco,Communications,n/a,New Funding/Resour...,$750.00m,-
10,Jun 2020,TransferGo,TransferGo,United Kingdom,Asia-Pacific,Financial services,n/a,New Funding/Resour...,$10.00m,-
11,Jun 2020,Orange (France T...,Orange (France T...,France,Nigeria,Communications,n/a,New Investment Stra...,-,-
12,Jun 2020,Ajar,Ajar,UAE,Bahrain,Software & IT services,n/a,New Funding/Resour...,-,-
13,Jun 2020,The Sun Exchange,The Sun Exchange,South Africa,Africa,Renewable energy,n/a,New Funding/Resour...,$3.00m,-
14,Jun 2020,Merge,Merge,South Africa,Nigeria,Software & IT services,n/a,New Funding/Resour...,-,-
15,Jun 2020,Shezlong,Shezlong,Egypt,Middle East,Healthcare,n/a,New Funding/Resour...,-,-
