ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Dec 2022,Unravel Data,Unravel Data,United States,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
2,Dec 2022,My 1Health (MyH...,My 1Health (MyH...,Kenya,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
3,Dec 2022,ScarabTech,ScarabTech,United States,Australia,Industrial equipment,n/a,New Funding/Resour...,-,-
4,Dec 2022,Newberry Global,Bespin Global,Hong Kong,Pakistan,Software & IT services,n/a,New Funding/Reso...,$60.00m,-
5,Dec 2022,Visa International,Visa International,United States,Africa,Financial services,n/a,New Investment Stra...,-,$1.00bn
6,Dec 2022,Volkswagen,MAN Trucks & Bu...,Germany,Latin America & C...,Automotive OEM,"Sales, Marketing & ...",Considering Projec...,-,-
7,Dec 2022,Pratley,Pratley,South Africa,Nigeria,Chemicals,n/a,New Investment Stra...,-,-
8,Dec 2022,Gridless,Gridless,Ghana,Africa,Communications,ICT & Internet Infra...,Considering Projec...,$2.00m,-
9,Dec 2022,Suplyd,Suplyd,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.60m,-
10,Dec 2022,Justyol,Justyol,Morocco,Middle East,Software & IT services,n/a,New Funding/Resour...,$0.35m,-
11,Dec 2022,Zeraki (Litemore),Zeraki (Litemore),Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,$1.80m,-
12,Dec 2022,UnaBiz,UnaBiz,Singapore,Latin America & C...,Communications,n/a,New Funding/Resour...,$25.00m,-
13,Dec 2022,BP (British Petrol...,BP (British Petrol...,United Kingdom,Egypt,Renewable energy,Manufacturing,Considering Project (...,-,-
14,Dec 2022,Venco,Venco,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$0.67m,-
15,Dec 2022,OneOrder,OneOrder,Egypt,Bahrain,Software & IT services,n/a,New Funding/Resour...,$3.00m,-
